original_index,display_index,text_path,audio_path,status
31,30.5,./35322 - Text/Chapter_0031_display_30_5.txt,./35322 - Audio/Chapter_0031_display_30_5.mp3,queued
32,31,./35322 - Text/Chapter_0032_display_31.txt,./35322 - Audio/Chapter_0032_display_31.mp3,queued
33,32,./35322 - Text/Chapter_0033_display_32.txt,./35322 - Audio/Chapter_0033_display_32.mp3,queued
34,33,./35322 - Text/Chapter_0034_display_33.txt,./35322 - Audio/Chapter_0034_display_33.mp3,queued
35,34,./35322 - Text/Chapter_0035_display_34.txt,./35322 - Audio/Chapter_0035_display_34.mp3,queued
36,35,./35322 - Text/Chapter_0036_display_35.txt,./35322 - Audio/Chapter_0036_display_35.mp3,queued
37,36,./35322 - Text/Chapter_0037_display_36.txt,./35322 - Audio/Chapter_0037_display_36.mp3,queued
38,37,./35322 - Text/Chapter_0038_display_37.txt,./35322 - Audio/Chapter_0038_display_37.mp3,queued
39,38,./35322 - Text/Chapter_0039_display_38.txt,./35322 - Audio/Chapter_0039_display_38.mp3,queued
40,39,./35322 - Text/Chapter_0040_display_39.txt,./35322 - Audio/Chapter_0040_display_39.mp3,queued
41,40,./35322 - Text/Chapter_0041_display_40.txt,./35322 - Audio/Chapter_0041_display_40.mp3,queued
42,41,./35322 - Text/Chapter_0042_display_41.txt,./35322 - Audio/Chapter_0042_display_41.mp3,queued
43,42,./35322 - Text/Chapter_0043_display_42.txt,./35322 - Audio/Chapter_0043_display_42.mp3,queued
44,43,./35322 - Text/Chapter_0044_display_43.txt,./35322 - Audio/Chapter_0044_display_43.mp3,queued
45,44,./35322 - Text/Chapter_0045_display_44.txt,./35322 - Audio/Chapter_0045_display_44.mp3,queued
46,45,./35322 - Text/Chapter_0046_display_45.txt,./35322 - Audio/Chapter_0046_display_45.mp3,queued
47,46,./35322 - Text/Chapter_0047_display_46.txt,./35322 - Audio/Chapter_0047_display_46.mp3,queued
48,47,./35322 - Text/Chapter_0048_display_47.txt,./35322 - Audio/Chapter_0048_display_47.mp3,queued
49,48,./35322 - Text/Chapter_0049_display_48.txt,./35322 - Audio/Chapter_0049_display_48.mp3,queued
50,49,./35322 - Text/Chapter_0050_display_49.txt,./35322 - Audio/Chapter_0050_display_49.mp3,queued
51,50,./35322 - Text/Chapter_0051_display_50.txt,./35322 - Audio/Chapter_0051_display_50.mp3,queued
52,51,./35322 - Text/Chapter_0052_display_51.txt,./35322 - Audio/Chapter_0052_display_51.mp3,queued
53,52,./35322 - Text/Chapter_0053_display_52.txt,./35322 - Audio/Chapter_0053_display_52.mp3,queued
54,53,./35322 - Text/Chapter_0054_display_53.txt,./35322 - Audio/Chapter_0054_display_53.mp3,queued
55,54,./35322 - Text/Chapter_0055_display_54.txt,./35322 - Audio/Chapter_0055_display_54.mp3,queued
56,55,./35322 - Text/Chapter_0056_display_55.txt,./35322 - Audio/Chapter_0056_display_55.mp3,queued
57,56,./35322 - Text/Chapter_0057_display_56.txt,./35322 - Audio/Chapter_0057_display_56.mp3,queued
58,57,./35322 - Text/Chapter_0058_display_57.txt,./35322 - Audio/Chapter_0058_display_57.mp3,queued
59,58,./35322 - Text/Chapter_0059_display_58.txt,./35322 - Audio/Chapter_0059_display_58.mp3,queued
60,59,./35322 - Text/Chapter_0060_display_59.txt,./35322 - Audio/Chapter_0060_display_59.mp3,queued
61,60,./35322 - Text/Chapter_0061_display_60.txt,./35322 - Audio/Chapter_0061_display_60.mp3,queued
62,61,./35322 - Text/Chapter_0062_display_61.txt,./35322 - Audio/Chapter_0062_display_61.mp3,queued
63,62,./35322 - Text/Chapter_0063_display_62.txt,./35322 - Audio/Chapter_0063_display_62.mp3,queued
64,63,./35322 - Text/Chapter_0064_display_63.txt,./35322 - Audio/Chapter_0064_display_63.mp3,queued
65,64,./35322 - Text/Chapter_0065_display_64.txt,./35322 - Audio/Chapter_0065_display_64.mp3,queued
66,65,./35322 - Text/Chapter_0066_display_65.txt,./35322 - Audio/Chapter_0066_display_65.mp3,queued
67,66,./35322 - Text/Chapter_0067_display_66.txt,./35322 - Audio/Chapter_0067_display_66.mp3,queued
68,67,./35322 - Text/Chapter_0068_display_67.txt,./35322 - Audio/Chapter_0068_display_67.mp3,queued
69,68,./35322 - Text/Chapter_0069_display_68.txt,./35322 - Audio/Chapter_0069_display_68.mp3,queued
70,69,./35322 - Text/Chapter_0070_display_69.txt,./35322 - Audio/Chapter_0070_display_69.mp3,queued
71,70,./35322 - Text/Chapter_0071_display_70.txt,./35322 - Audio/Chapter_0071_display_70.mp3,queued
72,71,./35322 - Text/Chapter_0072_display_71.txt,./35322 - Audio/Chapter_0072_display_71.mp3,queued
73,72,./35322 - Text/Chapter_0073_display_72.txt,./35322 - Audio/Chapter_0073_display_72.mp3,queued
74,73,./35322 - Text/Chapter_0074_display_73.txt,./35322 - Audio/Chapter_0074_display_73.mp3,queued
75,74,./35322 - Text/Chapter_0075_display_74.txt,./35322 - Audio/Chapter_0075_display_74.mp3,queued
76,75,./35322 - Text/Chapter_0076_display_75.txt,./35322 - Audio/Chapter_0076_display_75.mp3,queued
77,76,./35322 - Text/Chapter_0077_display_76.txt,./35322 - Audio/Chapter_0077_display_76.mp3,queued
78,77,./35322 - Text/Chapter_0078_display_77.txt,./35322 - Audio/Chapter_0078_display_77.mp3,queued
79,78,./35322 - Text/Chapter_0079_display_78.txt,./35322 - Audio/Chapter_0079_display_78.mp3,queued
80,79,./35322 - Text/Chapter_0080_display_79.txt,./35322 - Audio/Chapter_0080_display_79.mp3,queued
81,80,./35322 - Text/Chapter_0081_display_80.txt,./35322 - Audio/Chapter_0081_display_80.mp3,queued
82,81,./35322 - Text/Chapter_0082_display_81.txt,./35322 - Audio/Chapter_0082_display_81.mp3,queued
83,82,./35322 - Text/Chapter_0083_display_82.txt,./35322 - Audio/Chapter_0083_display_82.mp3,queued
84,83,./35322 - Text/Chapter_0084_display_83.txt,./35322 - Audio/Chapter_0084_display_83.mp3,queued
85,84,./35322 - Text/Chapter_0085_display_84.txt,./35322 - Audio/Chapter_0085_display_84.mp3,queued
